% Model:              Ellipse3.mph
% Version:            COMSOL 6.3.0.290
% Date:               Oct 26 2025, 11:01
% Dimension:          2
% Nodes:              10201
% Expressions:        5
% Description: Displacement field, X component, Displacement field, Y component, Strain tensor, XX component, Strain tensor, YY component, Strain tensor, XY component
% Length unit:        m
% X                       Y                        u (m)                    v (m)                    solid.eXX (1)            solid.eYY (1)            solid.eXY (1)
-1                        0.9000000000000001       -0.0030000000000000005   -8.03528318671419E-4     0.00301747027155023      -9.630636951550702E-4    1.2455830152025005E-8
-0.98                     0.9199999999999999       -0.002939619792083763    -8.228011778572052E-4    0.003019062591911509     -9.639466082499252E-4    5.73048861798528E-7
-0.96                     0.94                     -0.0028791900401193738   -8.420928326808794E-4    0.003020380478373705     -9.645557297507622E-4    8.375682935899085E-7
-0.94                     0.96                     -0.0028187301587732985   -8.613954800219779E-4    0.00302141797019582      -9.648817099979709E-4    8.210216064294165E-7
-0.9199999999999999       0.98                     -0.002758259380830679    -8.807007719163162E-4    0.0030221725530312307    -9.64922972120944E-4     5.391551150928561E-7
-0.8999999999999999       1                        -0.002697796613173172    -9.000000000000001E-4    0.00302264885673989      -9.646840590915076E-4    9.904142121014425E-9
-1                        0.8800000000000001       -0.0030000000000000005   -7.842783622738636E-4    0.0030155692593538397    -9.619400261242153E-4    1.3008809363057594E-8
-0.98                     0.9000000000000001       -0.0029396507139235538   -8.035314003889902E-4    0.003017518640668973     -9.630405380393834E-4    7.240231543805912E-7
-0.96                     0.9199999999999999       -0.002879237828579632    -8.228087336858949E-4    0.0030191927479184624    -9.638660056616987E-4    1.1263995777719322E-6
-0.94                     0.94                     -0.0028187809995178542   -8.421027686257477E-4    0.0030205820838498285    -9.644031162642577E-4    1.23714948873678E-6
-0.9199999999999999       0.96                     -0.0027582997458334073   -8.614052296075837E-4    0.0030216805340142067    -9.646462218656655E-4    1.0742026407839962E-6
-0.8999999999999999       0.98                     -0.002697813320709097    -8.807073552148198E-4    0.003022488675340144     -9.645966428168395E-4    6.575696169999525E-7
-0.8799999999999999       1                        -0.0026373405142733597   -9.000000000000001E-4    0.0030230141462197027    -9.64262167487337E-4     9.167887761452054E-9
-1                        0.8600000000000001       -0.0030000000000000005   -7.650530697316894E-4    0.0030133090423732543    -9.605958751750613E-4    1.3644225853315373E-8
-0.98                     0.8800000000000001       -0.002939688706515157    -7.842818650333278E-4    0.003015621496244463     -9.619212939211627E-4    8.816833308907442E-7
-0.96                     0.9000000000000001       -0.0028792995431834653   -8.035404757012564E-4    0.003017658549371379     -9.629710522771113E-4    1.426263301723849E-6
-0.94                     0.9199999999999999       -0.002818852425687744    -8.228215944096408E-4    0.0030194073071172964    -9.63727970782857E-4     1.6660653264009177E-6
-0.9199999999999999       0.94                     -0.0027583671856319623   -8.421170990809197E-4    0.003020857917147147     -9.641823773286993E-4    1.620915584895725E-6
-0.8999999999999999       0.96                     -0.002697863436319133    -8.614182431211785E-4    0.0030220071651900584    -9.643314260561383E-4    1.3132419708616432E-6
-0.8799999999999999       0.98                     -0.0026373603926454405   -8.807157649922504E-4    0.003022858322229441     -9.641795776214324E-4    7.670405520315374E-7
-0.8599999999999999       1                        -0.002576876667621763    -9.000000000000001E-4    0.0030234221487095516    -9.637379157100926E-4    8.286525995474895E-9
-1                        0.8400000000000001       -0.0030000000000000005   -7.458569224534031E-4    0.0030106836970389683    -9.590238563748724E-4    1.4348001924300672E-8
-0.98                     0.8600000000000001       -0.002939733878797334    -7.650568992117042E-4    0.003013365658095813     -9.605822310110278E-4    1.0470182440630582E-6
