% Model:              Beam.mph
% Version:            COMSOL 6.3.0.290
% Date:               Jun 14 2025, 10:50
% Dimension:          2
% Nodes:              1000
% Expressions:        5
% Description: Displacement magnitude, Rotation field, Z component, Bending moment, local z direction, Shear force, local y direction, Normal strain at the first calculation point
% Length unit:        m
% X                       Y                        beam.disp (m)            thz (rad)                beam.Mzl (N*m)           beam.Tyl (N)             beam.e_1 (1)
0.0365                    0                        1.9543495539227567E-5    0.0010382887383618507    107.47927242592424       594.7977225915226        6.448756345555453E-4
0.0375                    0                        2.0594657998371623E-5    0.0010640123880173611    106.88447470333237       594.7977225915226        6.413068482199942E-4
0.0385                    0                        2.1671472731444484E-5    0.0010895932862194503    106.28967698074109       594.7977225915226        6.377380618844465E-4
0.0395                    0                        2.277379698699272E-5     0.0011150314329681174    105.69487925815004       594.7977225915226        6.341692755489001E-4
0.0405                    0                        2.3901488063562913E-5    0.0011403271282633622    105.10508153556076       584.7977225920788        6.306304892133643E-4
0.0415                    0                        2.505440440970164E-5     0.001165482172105186     104.52028381296837       584.7977225920788        6.271217028778101E-4
0.0425                    0                        2.623240562395548E-5     0.0011904968644935868    103.9354860903754        584.7977225920788        6.236129165422523E-4
0.0435                    0                        2.7435351354871E-5       0.0012153712054285665    103.35068836778366       584.7977225920788        6.201041302067019E-4
0.0445                    0                        2.8663101250994795E-5    0.001240105194910123     102.76589064519163       584.7977225920788        6.165953438711496E-4
0.0455                    0                        2.991551496087344E-5     0.0012646988329382577    102.18109292259965       584.7977225920788        6.130865575355978E-4
0.0465                    0                        3.1192452133053506E-5    0.0012891521195129714    101.59629520000762       584.7977225920788        6.095777712000456E-4
0.0475                    0                        3.249377241608158E-5     0.001313465054634262     101.0114974774157        584.7977225920788        6.060689848644941E-4
0.0485                    0                        3.381933545850422E-5     0.0013376376383021304    100.42669975482309       584.7977225920788        6.025601985289383E-4
0.0495                    0                        3.516900090886803E-5     0.0013616698705165768    99.84190203223093        584.7977225920788        5.990514121933855E-4
0.0505                    0                        3.654262846571957E-5     0.0013855620512776014    99.26210430963893        574.7977225929902        5.955726258578334E-4
0.0515                    0                        3.794007897760542E-5     0.0014093159805852035    98.68730658704764        574.7977225929902        5.921238395222857E-4
0.0525                    0                        3.9361214443072164E-5    0.0014329319584393838    98.11250886445444        574.7977225929902        5.886750531867266E-4
0.0535                    0                        4.080589691066638E-5     0.0014564099848401425    97.53771114186206        574.7977225929902        5.852262668511722E-4
0.0545                    0                        4.227398842893465E-5     0.0014797500597874772    96.96291341926904        574.7977225929902        5.817774805156141E-4
0.0555                    0                        4.376535104642354E-5     0.0015029521832813913    96.3881156966765         574.7977225929902        5.783286941800587E-4
0.0565                    0                        4.527984681167963E-5     0.0015260163553218818    95.81331797408404        574.7977225929902        5.748799078445041E-4
0.0575                    0                        4.68173377732495E-5      0.001548942575908952     95.23852025149102        574.7977225929902        5.71431121508946E-4
0.0585                    0                        4.8377685979679725E-5    0.0015717308450425985    94.66372252889846        574.7977225929902        5.679823351733906E-4
0.0595                    0                        4.996075347951687E-5     0.0015943811627228228    94.08892480630522        574.7977225929902        5.645335488378312E-4
0.0605                    0                        5.156640237130755E-5     0.0016168938289496248    93.51912708371395        564.7977225912964        5.611147625022836E-4
0.0615                    0                        5.319449590359832E-5     0.0016392706437230048    92.95432936112111        564.7977225912964        5.577259761667266E-4
0.0625                    0                        5.484489847493576E-5     0.0016615119070429632    92.38953163853121        564.7977225912964        5.543371898311871E-4
0.0635                    0                        5.651747453386645E-5     0.0016836176189094993    91.82473391593996        564.7977225912964        5.509484034956396E-4
0.0645                    0                        5.821208852893696E-5     0.0017055877793226133    91.25993619334847        564.7977225912964        5.475596171600907E-4
0.0655                    0                        5.9928604908693875E-5    0.0017274223882823075    90.69513847075758        564.7977225912964        5.441708308245454E-4
0.0665                    0                        6.166688812168377E-5     0.0017491214457885775    90.13034074816682        564.7977225912964        5.407820444890008E-4
0.0675                    0                        6.342680261645321E-5     0.001770684951841427     89.56554302557478        564.7977225912964        5.373932581534485E-4
0.0685                    0                        6.52082128415488E-5      0.0017921129064408545    89.00074530298483        564.7977225912964        5.340044718179088E-4
0.0695                    0                        6.701098324551712E-5     0.0018134053095868595    88.43594758039347        564.7977225912964        5.306156854823608E-4
0.0705                    0                        6.88349783269047E-5      0.0018345624612794418    87.87614985779858        554.7977225911421        5.272568991467913E-4
0.0715                    0                        7.068006373425817E-5     0.0018555861615186019    87.32135213520556        554.7977225911421        5.239281128112332E-4
0.0725                    0                        7.254610626612411E-5     0.0018764767103043407    86.76655441261472        554.7977225911421        5.205993264756882E-4
0.0735                    0                        7.443297277104905E-5     0.0018972341076366587    86.21175669002665        554.7977225911421        5.172705401401597E-4
0.0745                    0                        7.634053009757962E-5     0.0019178583535155523    85.65695896743539        554.7977225911421        5.139417538046122E-4
0.0755                    0                        7.826864509426235E-5     0.0019383494479410265    85.10216124484421        554.7977225911421        5.106129674690652E-4
0.0765                    0                        8.021718460964386E-5     0.00195870739091308      84.54736352225409        554.7977225911421        5.072841811335244E-4
0.0775                    0                        8.218601549227072E-5     0.00197893218243171      83.99256579966118        554.7977225911421        5.039553947979669E-4
0.0785                    0                        8.417500459068948E-5     0.0019990238224969177    83.43776807707243        554.7977225911421        5.006266084624345E-4
0.0795                    0                        8.618401875344674E-5     0.0020189823111087042    82.88297035448322        554.7977225911421        4.972978221268993E-4
0.0805                    0                        8.821292487908909E-5     0.0020388079482670687    82.33317263189116        544.7977225898627        4.939990357913468E-4
0.0815                    0                        9.026159101616307E-5     0.0020585025339720136    81.78837490930675        544.7977225898627        4.907302494558404E-4
0.0825                    0                        9.23298863632153E-5      0.0020780663682235354    81.24357718671459        544.7977225898627        4.874614631202874E-4
0.0835                    0                        9.441768016879234E-5     0.002097499451021636     80.69877946412619        544.7977225898627        4.84192676784757E-4
0.0845                    0                        9.652484168144078E-5     0.0021168017823663147    80.15398174153583        544.7977225898627        4.8092389044921487E-4
0.0855                    0                        9.865124014970718E-5     0.002135973362257574     79.6091840189461         544.7977225898627        4.7765510411367645E-4
0.0865                    0                        1.0079674482213809E-4    0.002155014190695411     79.06438629635487        544.7977225898627        4.743863177781291E-4
0.0875                    0                        1.0296122494728017E-4    0.002173924267679825     78.51958857376756        544.7977225898627        4.7111753144260526E-4
0.0885                    0                        1.0514454977367994E-4    0.0021927035932108162    77.97479085117402        544.7977225898627        4.6784874510704403E-4
0.0895                    0                        1.0734658854988398E-4    0.002211352167288389     77.42999312858603        544.7977225898627        4.645799587715161E-4
0.0905                    0                        1.0956721057443891E-4    0.002229870289912539     76.89019540599308        534.7977225902413        4.613411724359584E-4
0.0915                    0                        1.1180628629589127E-4    0.0022482597610832657    76.35539768340516        534.7977225902413        4.581323861004308E-4
0.0925                    0                        1.1406368731278764E-4    0.002266520880800571     75.82059996081507        534.7977225902413        4.5492359976489035E-4
0.0935                    0                        1.1633928527367461E-4    0.002284653649064456     75.2858022382235         534.7977225902413        4.5171481342934084E-4
0.0945                    0                        1.1863295182709876E-4    0.002302658065874919     74.75100451563416        534.7977225902413        4.485060270938049E-4
0.0955                    0                        1.2094455862160667E-4    0.00232053413123196      74.2162067930453         534.7977225902413        4.452972407582717E-4
0.0965                    0                        1.2327397730574487E-4    0.002338281845135581     73.68140907045482        534.7977225902413        4.420884544227288E-4
0.0975                    0                        1.2562107952806002E-4    0.0023559012075857794    73.1466113478648         534.7977225902413        4.3887966808718874E-4
0.0985                    0                        1.279857369370986E-4     0.0023733922185825568    72.61181362527385        534.7977225902413        4.3567088175164304E-4
0.0995                    0                        1.3036782118140732E-4    0.0023907548781259124    72.07701590268523        534.7977225902413        4.3246209541611126E-4
